Top 100,Org Rk,Name,Org,Pos,Current Level,Trend,FV,ETA,Risk,Age,Ht,Wt,B,T,Signed,Signed From,Video,PlayerId
0,4,"Colton Welker","COL","3B","",,"45",2021,"Med","21.2","6' 2""","195","R","R","2016 Draft Rnd 4 (COL)","Stoneman Douglas HS (FL)","","19961"
0,4,"Brice Turang","MIL","SS","MLB",,"45",2022,"High","19.1","6' 1""","170","L","R","2018 Draft Rnd 1 (MIL)","Santiago HS (CA)","ImTzgRayiHA","22186"
0,4,"Tanner Houck","BOS","RHP","MLB",,"45",2019,"High","22.5","6' 5""","220","R","R","2017 Draft Rnd 1 (BOS)","Missouri","","19879"
0,4,"Shaun Anderson","SFG","RHP","AAA",1,"45",2020,"Med","24.2","6' 4""","225","R","R","2016 Draft Rnd 3 (BOS)","Florida","","19453"
0,4,"Wil Crowe","WSN","RHP","",,"45",2020,"Med","24.3","6' 2""","240","R","R","2017 Draft Rnd 2 (WAS)","South Carolina","","19800"
0,4,"Julio Rodríguez","SEA","RF","MLB",1,"45",2022,"High","18.0","6' 3""","205","R","R","2017 J2 (SEA)","Dominican Republic","","23697"
0,4,"Dakota Hudson","STL","RHP","",1,"45",2018,"Med","24.3","6' 5""","215","R","R","2016 Draft Rnd 1 (STL)","Mississippi State","LUO8ShS6j1Y","19206"
0,5,"Corbin Martin","HOU","RHP","MLB",1,"45+",2019,"Med","23.0","6' 2""","200","R","R","2017 Draft Rnd 2 (HOU)","Texas A&M","","19884"
0,5,"Luis Medina","NYY","RHP","MLB",-1,"45+",2022,"High","19.7","6' 1""","175","R","R","2015 J2 (NYY)","Dominican Republic","CULpv2BOf-0","21649"
0,5,"George Valera","CLE","LF","MLB",1,"45+",2021,"Med","18.1","6' 0""","190","L","L","2017 J2 (CLE)","Dominican Republic","","22541"
0,5,"JoJo Romero","PHI","LHP","MLB",1,"45+",2019,"Med","22.3","5' 10""","190","L","L","2016 Draft Rnd 4 (PHI)","Yavapai JC (AZ)","JN9zStdYzJU","19574"
0,5,"Brendon Little","CHC","LHP","MLB",,"45",2020,"High","22.4","6' 1""","195","L","L","2017 Draft Rnd 1 (CHC)","Florida - Manatee (JC)","","21574"
0,5,"Ryan Vilade","COL","3B","MLB",-1,"45",2022,"High","19.9","6' 2""","194","R","R","2017 Draft Rnd 2 (COL)","Stillwater HS (OK)","","22165"
0,5,"Lucas Erceg","MIL","3B","MLB",-1,"45",2020,"High","23.7","6' 3""","200","L","R","2016 Draft Rnd 2 (MIL)","Menlo","ZMIOPMWkA5c","19360"
0,5,"Kyler Murray","OAK","CF",,,"45",2021,"High","21.5","5' 11""","190","R","R","2018 Draft Rnd 1 (OAK)","Oklahoma","xmMP-OHxKp8",
0,5,"Sam Travis","BOS","1B","AAA",,"45",2018,"Low","25.3","6' 0""","210","R","R","2014 Draft Rnd 2 (BOS)","Indiana","LgN7aI9Ap18","16263"
0,5,"Austin Hays","BAL","RF","MLB",-1,"45",2018,"High","23.5","6' 0""","205","R","R","2016 Draft Rnd 3 (BAL)","Jacksonville","Atv7VME2ktM","19363"
0,5,"Alexander Canario","SFG","RF","",,"45",2023,"High","18.7","6' 1""","165","R","R","2016 J2 (SFG)","Dominican Republic","","22842"
0,5,"Nick Pratto","KCR","1B","MLB",-1,"45",2021,"High","20.2","6' 1""","195","L","L","2017 Draft Rnd 1 (KCR)","Huntington Beach HS (CA)","m12VQ7FD72k","22117"
0,5,"Daniel Johnson","WSN","CF","MLB",1,"45",2020,"High","23.5","5' 10""","185","L","L","2016 Draft Rnd 5 (WAS)","New Mexico State","","19643"
0,5,"Pavin Smith","ARI","1B","MLB",,"45",2020,"Med","22.9","6' 2""","210","L","L","2017 Draft Rnd 1 (ARI)","Virginia","","19892"
0,5,"Jordyn Adams","LAA","CF","AAA",,"45",2023,"High","19.2","6' 2""","180","R","R","2018 Draft Rnd 1 (LAA)","Green Hope HS (NC)","dsaEZPyd02Y","23788"
0,5,"Edmundo Sosa","STL","SS","MLB",1,"45",2019,"Low","22.8","6' 0""","198","R","R","2012 J2 (STL)","Panama","","17022"
0,5,"Noelvi Marte","SEA","SS",,,"40+",2023,"Med","16.7","6' 1""","180","R","R","2018 J2 (SEA)","Dominican","24XWJlBKDh0",
0,6,"Stephen Gonsalves","MIN","LHP","",,"45+",2019,"Med","24.5","6' 5""","213","L","L","2013 Draft Rnd 4 (MIN)","Cathedral Catholic HS (CA)","ToTToij37mo","15492"
0,6,"Óscar Mercado","CLE","CF","",1,"45+",2019,"Med","24.0","6' 2""","175","R","R","2013 Draft Rnd 2 (STL)","Gaither HS (FL)","","16375"
0,6,"Victor Victor Mesa","MIA","CF",,,"45+",2020,"Med","22.4","5' 11""","185","R","R","2018 J2 (MIA)","Cuba","K7KQgt1ZsuU",
0,6,"Justin Dunn","NYM","RHP","",,"45+",2019,"High","23.3","6' 2""","210","R","R","2016 Draft Rnd 1 (NYM)","Boston College","","19268"
0,6,"Yadier Alvarez","LAD","RHP","",-1,"45+",2020,"High","22.8","6' 3""","175","R","R","2015 J2 (LAD)","Cuba","GPeREXyoEzQ","sa868984"
0,6,"Alex Lange","CHC","RHP","MLB",,"45",2020,"High","23.2","6' 3""","197","R","R","2017 Draft Rnd 1 (CHC)","LSU","","19883"
0,6,"Freudis Nova","HOU","SS","",,"45",2022,"High","19.0","6' 1""","180","R","R","2016 J2 (HOU)","Dominican Republic","","sa3003195"
0,6,"Yency Almonte","COL","RHP","",,"45",2018,"Med","24.6","6' 3""","205","R","R","2012 Draft Rnd 17 (LAA)","Columbia HS (FL)","","15068"
0,6,"Trent Grisham","MIL","LF","MLB",-1,"45",2021,"High","22.2","6' 0""","205","L","L","2015 Draft Rnd 1 (MIL)","Richland HS (TX)","ToL0111crDA","18564"
0,6,"Lazaro Armenteros","OAK","LF","",1,"45",2021,"High","19.6","6' 0""","182","R","R","2016 J2 (OAK)","Cuba","vc84x37Htwg","sa969091"
0,6,"Anthony Seigler","NYY","C","MLB",,"45",2022,"High","19.0","6' 0""","190","S","S","2018 Draft Rnd 1 (NYY)","Cartersville HS (GA)","Pygpv-Fofq","23802"
0,6,"Kevin Kramer","PIT","2B","",1,"45",2019,"Med","25.2","6' 1""","190","L","R","2015 Draft Rnd 2 (PIT)","UCLA","mEWsCbw_yyo","17689"
0,6,"Bryan Mata","BOS","RHP","",,"45",2021,"High","19.7","6' 3""","175","R","R","2015 J2 (BOS)","Venezuela","WbkmD6xsGX4","sa917784"
0,6,"Grayson Rodriguez","BAL","RHP","MLB",,"45",2023,"High","19.1","6' 5""","230","L","R","2018 Draft Rnd 1 (BAL)","Central Heights HS (TX)","XVnKhGydp9Y","24492"
0,6,"Chris Shaw","SFG","1B","",,"45",2018,"Med","25.2","6' 3""","260","L","R","2015 Draft Rnd 1 (SFG)","Boston College","","17738"
0,6,"Daniel Lynch IV","KCR","LHP","MLB",,"45",2021,"Med","22.1","6' 4""","195","L","L","2018 Draft Rnd 1 (KCR)","Virginia","6QraMEyUSuI","21537"
0,6,"Luis García Jr.","WSN","SS","MLB",1,"45",2022,"Med","18.6","6' 0""","180","L","R","2016 J2 (WAS)","Dominican Republic","","20391"
0,6,"Alek Thomas","ARI","CF","MLB",,"45",2022,"Med","18.7","5' 11""","175","L","L","2018 Draft Rnd 2 (ARI)","Mount Carmel HS (IL)","rDKDUUEj59o","23792"
0,6,"José Suarez","LAA","LHP","MLB",,"45",2019,"Med","21.0","5' 10""","180","L","L","2014 J2 (LAA)","Venezuela","ePgdXSuhTp4","19911"
0,6,"Jhailyn Ortiz","PHI","1B","AA",,"45",2021,"High","20.1","6' 3""","240","R","R","2015 J2 (PHI)","Dominican Republic","HQy76_5oRQc","sa920180"
0,6,"Jordan Groshans","TOR","3B","AAA",,"45",2022,"High","19.1","6' 4""","190","R","R","2018 Draft Rnd 1 (TOR)","Magnolia HS (TX)","f-TuuK1yB5k","23794"
0,6,"Taylor Hearn","TEX","LHP","",,"45",2019,"High","24.3","6' 5""","210","L","L","2015 Draft Rnd 5 (WAS)","Oklahoma Baptist","oQKNYrSxPec","18325"
0,6,"Adolis García","STL","CF","MLB",-1,"45",2019,"High","25.8","6' 1""","180","R","R","2017 IFA (STL)","Cuba","","19287"
0,6,"Sam Carlson","SEA","RHP","AAA",-1,"40+",2022,"High","20.1","6' 4""","195","R","R","2017 Draft Rnd 2 (SEA)","Burnsville HS (MN)","PK5O-3F8YyM","sa3005015"
0,7,"Akil Baddoo","MIN","CF","MLB",1,"45+",2021,"High","20.4","5' 11""","195","L","L","2016 Draft Rnd 2 (MIN)","Salem HS (GA)","","22168"
0,7,"Jeter Downs","CIN","SS","",1,"45+",2021,"Med","20.4","5' 11""","180","R","R","2017 Draft Rnd 1 (CIN)","Monsignor Pace HS (FL)","","22202"
0,7,"Luis Oviedo","CLE","RHP","",1,"45+",2022,"High","19.6","6' 4""","200","R","R","2015 J2 (CLE)","Venezuela","","21728"
0,7,"Jorge Guzmán","MIA","RHP","",-1,"45+",2021,"High","22.9","6' 2""","182","R","R","2013 J2 (HOU)","Dominican Republic","97COg64IK0I","17505"
0,7,"Mark Vientos","NYM","3B","MLB",,"45+",2022,"High","19.1","6' 4""","185","R","R","2017 Draft Rnd 2 (NYM)","American Heritage HS (FL)","ax1yE3rIWCs","22184"
0,7,"DJ Peters","LAD","RF","",,"45+",2020,"High","23.1","6' 6""","225","R","R","2014 Draft Rnd 4 (LAD)","Western Nevada","","19348"
0,7,"Jeremiah Estrada","CHC","RHP","MLB",1,"45",2021,"High","20.2","6' 1""","185","S","R","2017 Draft Rnd 6 (CHC)","Palm Desert HS (CA)","RYcLn14DQEo","22210"
0,7,"J.B. Bukauskas","HOU","RHP","AAA",-1,"45",2019,"High","22.2","6' 0""","196","R","R","2017 Draft Rnd 1 (HOU)","North Carolina","","20491"
0,7,"Tyler Nevin","COL","3B","",,"45",2021,"Med","21.6","6' 4""","200","R","R","2015 Draft Rnd 1 (COL)","Poway HS (CA)","","17893"
0,7,"Mauricio Dubón","MIL","SS","MLB",,"45",2019,"Med","24.5","6' 0""","160","R","R","2013 Draft Rnd 26 (BOS)","Capital Christian HS (CA)","MgNeizABbjY","16530"
0,7,"Austin Beck","OAK","CF","",,"45",2021,"High","20.1","6' 1""","200","R","R","2017 Draft Rnd 1 (OAK)","North Davidson HS (NC)","oAS3Hzfb8Jc","sa3004055"
0,7,"Clarke Schmidt","NYY","RHP","MLB",1,"45",2020,"High","22.9","6' 1""","205","R","R","2017 Draft Rnd 1 (NYY)","South Carolina","","19899"
0,7,"Lolo Sanchez","PIT","CF","",-1,"45",2021,"Med","19.7","6' 0""","150","R","R","2015 J2 (PIT)","Dominican Republic","","sa917767"
0,7,"Darwinzon Hernández","BOS","LHP","",,"45",2021,"High","22.0","6' 2""","185","L","L","2013 J2 (BOS)","Venezuela","","19848"
0,7,"Luis Ortiz","BAL","RHP","",,"45",2018,"Med","23.3","6' 3""","240","R","R","2014 Draft Rnd 1 (TEX)","Sanger HS (CA)","Bc-6cJ0VFrQ","16942"
0,7,"Nicky Lopez","KCR","SS","MLB",,"45",2019,"Low","23.8","5' 11""","175","L","L","2016 Draft Rnd 5 (KCR)","Creighton","xL8x05RFyNM","19339"
0,7,"Jeremiah Jackson","LAA","3B","MLB",,"45",2022,"High","18.8","6' 0""","175","R","R","2018 Draft Rnd 2 (LAA)","St. Luke's Episcopal HS (AL)","cy7v3sfh_sU","22239"
0,7,"Enyel De Los Santos","PHI","RHP","MLB",1,"45",2018,"Med","23.0","6' 3""","200","R","R","2014 J2 (SEA)","Dominican Republic","","18403"
0,7,"T.J. Zeuch","TOR","RHP","",,"45",2019,"Med","23.4","6' 7""","220","R","R","2016 Draft Rnd 1 (TOR)","Pittsburgh","","19269"
0,7,"Pedro Gonzalez","TEX","CF","",,"45",2022,"High","21.2","6' 5""","190","R","R","2014 J2 (COL)","Dominican Republic","0ZYOxS1M2BA","sa872568"
0,7,"Justin Williams","STL","LF","AAA",,"45",2018,"Med","23.4","6' 2""","220","L","R","2013 Draft Rnd 2 (ARZ)","Terrebonne HS (LA)","qBdkDD7U1B4","15490"
0,7,"Sean Hjelle","SFG","RHP","",,"40+",2021,"Med","21.7","6' 11""","215","R","R","2018 Draft Rnd 2 (SFG)","Kentucky","NMCpRfnBHDI","21481"
0,7,"Seth Romero","WSN","LHP","",-1,"40+",2019,"High","22.7","6' 3""","240","L","L","2017 Draft Rnd 1 (WAS)","Houston","","21333"
0,7,"Drew Ellis","ARI","3B","",,"40+",2021,"Med","23.1","6' 3""","220","R","R","2017 Draft Rnd 2 (ARI)","Louisville","","19873"
0,7,"Braden Bishop","SEA","CF","",,"40",2019,"Med","25.4","6' 1""","190","R","R","2015 Draft Rnd 3 (SEA)","Washington","","17806"
0,8,"Tyler Stephenson","CIN","C","MLB",1,"45+",2020,"High","22.4","6' 4""","210","R","R","2015 Draft Rnd 1 (CIN)","Kennesaw Mountain HS (GA)","jbQ74U8MGvM","17988"
0,8,"Franklyn Kilome","NYM","RHP","",,"45+",2019,"High","23.5","6' 6""","215","R","R","2012 J2 (PHI)","Dominican Republic","BMD8EhJwlVg","17861"
0,8,"Jose Albertos","CHC","RHP","A+",-1,"45",2022,"High","20.2","6' 1""","185","R","R","2015 J2 (CHC)","Mexico","Kc2h9nC_75o","sa919907"
0,8,"Jake Rogers","DET","C","MLB",,"45",2020,"High","23.7","6' 1""","190","R","R","2016 Draft Rnd 3 (HOU)","Tulane","","19452"
0,8,"Peter Lambert","COL","RHP","MLB",,"45",2019,"Med","21.7","6' 2""","185","R","R","2015 Draft Rnd 2 (COL)","San Dimas HS (CA)","bglOnR4sPGk","17969"
0,8,"Sheldon Neuse","OAK","3B","",,"45",2019,"Med","24.1","6' 0""","195","R","R","2016 Draft Rnd 2 (WAS)","Oklahoma","qqp5Daofb6w","19635"
0,8,"Wander Javier","MIN","SS","",,"45",2022,"High","20.0","6' 1""","165","R","R","2015 J2 (MIN)","Dominican Republic","KQM2BzjyTNU","sa917168"
0,8,"Thairo Estrada","NYY","SS","",,"45",2019,"Low","22.9","5' 10""","185","R","R","2013 J2 (NYY)","Venezuela","","16426"
0,8,"Luis Escobar","PIT","RHP","ST",,"45",2021,"High","22.6","6' 1""","160","R","R","2013 J2 (PIT)","Colombia","","17345"
0,8,"Bo Naylor","CLE","C","MLB",,"45",2022,"Med","18.9","6' 0""","205","L","R","2018 Draft Rnd 1 (CLE)","St. Joan of Arc HS (CAN)","4SxNI1qCt10","21865"
0,8,"Connor Scott","MIA","CF","AA",,"45",2023,"High","19.2","6' 4""","185","L","L","2018 Draft Rnd 1 (MIA)","Plant HS","0xcsCdAtkPM","sa3008080"
0,8,"Hunter Harvey","BAL","RHP","MLB",,"45",2018,"High","24.1","6' 3""","175","R","R","2013 Draft Rnd 1 (BAL)","Bandys HS (NC)","h6K2W6p8iCg","15507"
0,8,"Jackson Kowar","KCR","RHP","MLB",,"45",2021,"Med","22.2","6' 5""","180","R","R","2018 Draft Rnd 1 (KCR)","Florida","6Gnu6dq3LLQ","21549"
0,8,"Luis Rengifo","LAA","2B","",1,"45",2019,"Med","21.8","5' 10""","165","S","R","2013 J2 (SEA)","Venezuela","","19858"
0,8,"Spencer Howard","PHI","RHP","",1,"45",2020,"High","22.4","6' 3""","205","R","R","2017 Draft Rnd 2 (PHI)","Cal Poly","","23252"
0,8,"Logan Warmoth","TOR","SS","",,"45",2020,"Med","23.3","6' 0""","190","R","R","2017 Draft Rnd 1 (TOR)","North Carolina","JW2k6Sivuis","sa3004813"
0,8,"J.P. Martínez","TEX","CF","AAA",,"45",2021,"Med","22.8","5' 11""","190","L","L","2017 J2 (TEX)","Cuba","","24451"
0,8,"Ryan Helsley","STL","RHP","MLB",,"45",2018,"Med","24.5","6' 1""","195","R","R","2015 Draft Rnd 5 (STL)","Northeastern State","","18138"
0,8,"Gavin Lux","LAD","SS","MLB",1,"45",2021,"High","21.1","6' 2""","190","L","R","2016 Draft Rnd 1 (LAD)","Indian Trail Academy HS (WI)","UN_FiRAXe4Q","19955"
0,8,"Garrett Stubbs","HOU","C","MLB",1,"40+",2019,"Med","25.6","5' 10""","185","L","R","2015 Draft Rnd 8 (HOU)","USC","","18067"
0,8,"Nick Decker","BOS","RF","",,"40+",2023,"Med","19.2","6' 0""","200","L","L","2018 Draft Rnd 2 (BOS)","Seneca HS (NJ)","JfxRX_cb-VE","sa3008590"
0,8,"Gregory Santos","SFG","RHP","MLB",1,"40+",2021,"High","19.3","6' 2""","190","R","R","2015 J2 (BOS)","Dominican Republic","","21894"
0,8,"Jake McCarthy","ARI","CF","MLB",,"40+",2021,"High","21.4","6' 2""","195","L","L","2018 Draft Rnd 1 (ARI)","Virginia","","21622"
0,8,"Mario Feliciano","MIL","C","AA",,"40",2021,"High","20.1","6' 1""","200","R","R","2016 Draft Rnd 2 (MIL)","Beltran Academy HS (PR)","08yVCH4kuSg","20263"
0,8,"Yasel Antuna","WSN","SS","",,"40",2021,"High","19.2","6' 0""","170","S","R","2016 J2 (WAS)","Dominican Republic","","sa962601"
0,8,"Juan Querecuto","SEA","SS","",1,"40",2022,"High","18.3","6' 2""","175","R","R","2017 J2 (SEA)","Venezuela","","sa3005721"
0,9,"Tony Santillan","CIN","RHP","MLB",1,"45+",2020,"High","21.7","6' 3""","240","R","R","2015 Draft Rnd 2 (CIN)","Seguin HS (TX)","JnLLIhP5nfU","19926"
0,9,"Oscar De La Cruz","CHC","RHP","AA",-1,"45",2020,"High","23.8","6' 6""","240","R","R","2012 J2 (CHC)","Dominican Republic","StTOw1iS6Fk","sa737037"
0,9,"Mike Gerber","DET","RF","",,"45",2018,"Low","26.5","6' 0""","190","L","R","2014 Draft Rnd 5 (DET)","Creighton","HLLQ7vUfBCo","16115"
0,9,"Ryan Rolison","COL","LHP","MLB",,"45",2021,"High","21.5","6' 2""","195","R","L","2018 Draft Rnd 1 (COL)","Ole Miss","ayEAfzM9lDo","22200"
0,9,"James Kaprielian","OAK","RHP","",-1,"45",2019,"High","24.8","6' 4""","200","R","R","2015 Draft Rnd 1 (NYY)","UCLA","hFv_4TVJwyE","18331"
0,9,"Travis Blankenhorn","MIN","2B","",-1,"45",2020,"Med","22.4","6' 2""","208","L","R","2015 Draft Rnd 3 (MIN)","Pottsville HS (PA)","-WTP9wYmf1o","18395"
0,9,"Nick Green","NYY","RHP","AAA",1,"45",2019,"Med","23.8","6' 1""","175","R","R","2014 Draft Rnd 7 (TEX)","Indian Hill JC (IA)","","sa738690"
0,9,"Kevin Newman","PIT","SS","MLB",,"45",2019,"Low","25.4","6' 1""","180","R","R","2015 Draft Rnd 1 (PIT)","Arizona","3UO8or3lTT8","17696"
0,9,"Bobby Bradley","CLE","1B","AAA",-1,"45",2019,"Med","22.6","6' 1""","225","L","R","2014 Draft Rnd 3 (CLE)","Harrion Central HS (MS)","JeDVcWGcXVk","17278"
0,9,"James Nelson","MIA","3B","A+",,"45",2021,"Med","21.2","6' 2""","180","R","R","2016 Draft Rnd 15 (MIA)","Cisco JC (TX)","","sa875753"
0,9,"Desmond Lindsay","NYM","RF","",,"45",2020,"High","22.0","6' 0""","200","R","R","2015 Draft Rnd 2 (NYM)","Out of Door Academy HS (FL)","akUuQZG6dnk","sa874792"
0,9,"Matt Thaiss","LAA","1B","AAA",1,"45",2019,"Med","23.7","5' 11""","197","L","R","2016 Draft Rnd 1 (LAA)","Virginia","","19318"
0,9,"Daniel Brito","PHI","2B","",,"45",2020,"High","20.9","6' 1""","155","L","R","2014 J2 (PHI)","Venezuela","","sa872732"
0,9,"Adam Kloffenstein","TOR","RHP","AAA",,"45",2022,"High","18.4","6' 5""","220","R","R","2018 Draft Rnd 3 (TOR)","Magnolia HS (TX)","","24493"
0,9,"Hans Crouse","TEX","RHP","MLB",,"45",2021,"High","20.3","6' 4""","180","L","R","2017 Draft Rnd 2 (TEX)","Dana Hills HS (CA)","3ehPVLIc5AI","22192"
0,9,"Conner Greene","STL","RHP","AAA",,"45",2019,"Med","23.7","6' 3""","185","R","R","2013 Draft Rnd 7 (TOR)","Santa Monica HS (CA)","","16455"
0,9,"Jordan Sheffield","LAD","RHP","",,"45",2019,"High","23.6","5' 10""","190","R","R","2016 Draft Rnd 1 (LAD)","Vanderbilt","","19682"
0,9,"Jonathan Araúz","HOU","SS","AAA",1,"40+",2021,"High","20.4","6' 0""","150","S","R","2014 J2 (PHI)","Panama","","20275"
0,9,"Jean Carlos Encarnacion","BAL","3B","AAA",1,"40+",2021,"High","21.0","6' 3""","195","R","R","2015 J2 (ATL)","Dominican Republic","","sa921562"
0,9,"Garrett Williams","SFG","LHP","",-1,"40+",2019,"High","24.3","6' 1""","200","L","L","2016 Draft Rnd 7 (SFG)","Oklahoma State","","sa738512"
0,9,"Kyle Isbel","KCR","RF","MLB",,"40+",2021,"Med","21.8","5' 11""","190","L","R","2018 Draft Rnd 2 (KCR)","UNLV","ED60S6KU3Bw","21614"
0,9,"Joe Gray, Jr.","MIL","RF","",,"40",2023,"High","18.8","6' 3""","195","R","R","2018 Draft Rnd 3 (MIL)","Hattiesburg HS (MS)","6VTdKILdDk4","sa3008005"
0,9,"Danny Diaz","BOS","3B","R",,"40",2023,"High","18.0","6' 1""","170","R","R","2017 J2 (BOS)","Venezuela","","sa872405"
0,9,"Tim Cate","WSN","LHP","",,"40",2021,"High","21.3","6' 0""","170","L","L","2018 Draft Rnd 2 (WAS)","Connecticut","","sa3007926"
0,9,"Marcus Wilson","ARI","CF","",,"40",2020,"Med","22.4","6' 3""","175","R","R","2014 Draft Rnd 2 (ARI)","JSerra HS (CA)","","17910"
0,9,"Cal Raleigh","SEA","C","MLB",,"40",2021,"Med","22.1","6' 3""","225","R","R","2018 Draft Rnd 3 (SEA)","Florida State","","21534"
0,10,"Nick Solak","TBR","2B","MLB",,"45+",2020,"Med","24.0","5' 11""","175","R","R","2016 Draft Rnd 2 (NYY)","Louisville","","19294"
0,10,"Sergio Alcántara","DET","SS","MLB",1,"45",2019,"Med","22.5","5' 9""","170","S","R","2012 J2 (ARI)","Dominican Republic","","16417"
0,10,"Grant Lavigne","COL","1B","",,"45",2022,"Med","19.3","6' 4""","230","L","R","2018 Draft Rnd 2 (COL)","Bedford HS (NH)","yU9PNba7MjM","sa3007743"
0,10,"Jeremy Eierman","OAK","3B","AA",,"45",2021,"Med","22.3","6' 1""","195","R","R","2018 Draft Rnd 2 (OAK)","Missouri State","","sa3007005"
0,10,"Brent Rooker","MIN","1B","MLB",,"45",2019,"High","24.2","6' 3""","215","R","R","2017 Draft Rnd 1 (MIN)","Mississippi State","","19627"
0,10,"Steven Jennings","PIT","RHP","",,"45",2021,"High","20.1","6' 2""","175","R","R","2017 Draft Rnd 2 (PIT)","DeKalb HS (TN)","","sa3004812"
0,10,"José Barrero","CIN","SS","MLB",-1,"45",2021,"High","20.7","6' 2""","175","R","R","2016 J2 (CIN)","Cuba","sa3005385","23378"
0,10,"Lenny Torres, Jr.","CLE","RHP","AA",,"45",2023,"High","18.2","6' 2""","190","R","R","2018 Draft Rnd 1 (CLE)","Beacon HS (NY)","oQt2oGijG8Q","sa3008329"
0,10,"José Devers","MIA","SS","",1,"45",2022,"High","19.1","6' 0""","155","L","R","2016 J2 (NYY)","Dominican Republic","","20540"
0,10,"José Soriano","LAA","RHP","MLB",,"45",2022,"High","20.2","6' 3""","168","R","R","2015 J2 (LAA)","Dominican Republic","oHZqJGlxrbg","22100"
0,10,"Kevin Smith","TOR","SS","",1,"45",2020,"Med","22.5","6' 1""","188","R","R","2017 Draft Rnd 4 (TOR)","Maryland","","20242"
0,10,"Mitch White","LAD","RHP","",-1,"45",2019,"High","24.0","6' 4""","207","R","R","2016 Draft Rnd 2 (LAD)","Santa Clara","-XlwJUJpdH0","19225"
0,10,"Richard Gallardo","CHC","RHP",,,"40+",2023,"High","17.3","6' 1""","187","R","R","2018 J2 (CHC)","Venezuela","j7EwIoPixuw",
0,10,"Rogelio Armenteros","HOU","RHP","",,"40+",2018,"Low","24.5","6' 1""","215","R","R","2014 J2 (HOU)","Cuba","","17679"
0,10,"Deivi García","NYY","RHP","",1,"40+",2021,"High","19.6","5' 10""","163","R","R","2015 J2 (NYY)","Dominican Republic","TtDspHp7TRI","20276"
0,10,"Zac Lowther","BAL","LHP","CPX",,"40+",2019,"High","22.7","6' 2""","235","L","L","2017 Draft Rnd 2 (BAL)","Xavier","wVeEOHsnDns","20243"
0,10,"Kris Bubic","KCR","LHP","MLB",,"40+",2021,"Med","21.4","6' 3""","220","L","L","2018 Draft Rnd 1 (KCR)","Stanford","1rpGvmAv8vM","21455"
0,10,"Anthony Kay","NYM","LHP","MLB",1,"40+",2021,"High","23.8","6' 0""","218","L","L","2016 Draft Rnd 1 (NYM)","UConn","","20387"
0,10,"Arquimedes Gamboa","PHI","SS","",,"40+",2021,"High","21.3","6' 0""","175","S","R","2014 J2 (PHI)","Venezuela","XMoiQQu_Els","sa877497"
0,10,"Anderson Tejeda","TEX","SS","ST",1,"40+",2021,"High","20.7","5' 11""","160","L","R","2014 J2 (TEX)","Dominican Republic","TdHxjNuX4iQ","19909"
0,10,"Wadye Infante","STL","CF","",1,"40+",2021,"High","21.4","6' 0""","160","R","R","2013 J2 (STL)","Dominican Republic","","sa828382"
0,10,"Caden Lemons","MIL","RHP","",,"40",2022,"High","20.1","6' 6""","175","R","R","2017 Draft Rnd 2 (MIL)","Vestivia Hills HS (AL)","Jq0GMisVu6E","sa3005350"
0,10,"Mike Shawaryn","BOS","RHP","",,"40",2019,"Med","24.3","6' 3""","225","R","R","2016 Draft Rnd 5 (BOS)","Maryland","5fWiIrMG60g","19495"
0,10,"Jacob Gonzalez","SFG","3B","",,"40",2023,"High","20.5","6' 3""","190","R","R","2017 Draft Rnd 2 (SFG)","Chaparral HS (AZ)","","sa3004691"
0,10,"Anderson Franco","WSN","3B","",,"40",2020,"Med","21.4","6' 3""","190","R","R","2013 J2 (WAS)","Dominican Republic","0-RF8USinsU","sa828322"
0,10,"Matt Tabor","ARI","RHP","",,"40",2022,"High","20.5","6' 2""","180","R","R","2017 Draft Rnd 3 (ARI)","Milton Academy HS (MA)","QB3atZnxtDE","sa3005334"
0,10,"Max Povse","SEA","RHP","",,"40",2018,"Low","25.4","6' 8""","190","R","R","2014 Draft Rnd 3 (ATL)","UNC Greensboro","","16165"
0,11,"Josh Lowe","TBR","CF","MLB",,"45+",2021,"High","20.9","6' 4""","190","L","R","2016 Draft Rnd 1 (TBR)","Pope HS (GA)","0xP4kchoVfA","19953"
0,11,"Willi Castro","DET","SS","MLB",,"45",2020,"Med","21.7","6' 1""","165","S","R","2013 J2 (CLE)","Dominican Republic","ZgzLpSZfVEw","17338"
0,11,"Nick Allen","OAK","SS","MLB",,"45",2022,"Med","20.2","5' 9""","155","R","R","2017 Draft Rnd 3 (OAK)","Francis Parker HS (CA)","LdNKp8Xs1s0","22277"
0,11,"LaMonte Wade Jr.","MIN","LF","MLB",,"45",2019,"Low","22.0","6' 1""","190","L","L","2015 Draft Rnd 9 (MIN)","Maryland","","18126"
0,11,"Vladimir Gutierrez","CIN","RHP","AAA",,"45",2019,"Med","23.3","6' 0""","190","R","R","2016 J2 (CIN)","Cuba","","19278"
0,11,"Will Benson","CLE","RF","MLB",,"45",2022,"High","20.5","6' 5""","225","L","L","2016 Draft Rnd 1 (CLE)","The Westminster Schools HS (GA)","_oDb1oLoVXU","21853"
0,11,"Thomas Jones","MIA","CF","",1,"45",2022,"High","21.1","6' 4""","195","R","R","2016 Draft Rnd 3 (MIA)","Laurens HS (SC)","","sa917968"
